item_id,symbol,name_text_id,description_text_id,current_name,japanese_or_source_comment,candidate_name,status,reference_url,notes
$AF,Item_BigOnigiri,Text939,Text1534,Big Rice Ball,大きいおにぎり,Large Onigiri,candidate,https://sharksnack.github.io/shiren-6/items/food/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B0,Item_SpoiledOnigiri,Text940,Text1535,Rotten Rice Ball,くさったおにぎり,Rotten Onigiri,candidate,https://sharksnack.github.io/shiren-6/items/food/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B1,Item_HugeOnigiri,Text941,Text1536,Huge Rice Ball,巨大なおにぎり,Huge Onigiri,candidate,https://sharksnack.github.io/shiren-6/items/food/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B2,Item_SpecialOnigiri,Text942,Text1537,Special Rice Ball,特製おにぎり,Special Onigiri,candidate,https://sharksnack.github.io/shiren-6/items/food/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B3,Item_B3,Text943,Text1538,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$B4,Item_HoldingJar,Text944,Text1539,Holding Pot,保存の壺,Preservation Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B5,Item_HidingJar,Text945,Text1540,Hiding Pot,やりすごしの壺,Hiding Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B6,Item_DivisionJar,Text946,Text1541,Dividing Pot,分裂の壺,,review,,No direct target established; preserve duplication behavior.
$B7,Item_StrengtheningJar,Text947,Text1542,Strengthening Pot,強化の壺,Upgrading Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B8,Item_IdentityJar,Text948,Text1543,ID Pot,識別の壺,Identifier Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$B9,Item_ChiropracticJar,Text949,Text1544,Back Pot,,,review,,Review Japanese identity and SFC healing effect before choosing a modern pot name.
$BA,Item_StorehouseJar,Text950,Text1545,Storage Pot,倉庫の壺,Warehouse Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$BB,Item_WeakeningJar,Text951,Text1546,Weakening Pot,弱化の壺,Degrading Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$BC,Item_BC,Text952,Text1547,---,dummy entry,,protected,,Preserve unused slot; no new item.
$BD,Item_BottomlessJar,Text953,Text1548,Bottomless Pot,底抜けの壺,Bottomless Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$BE,Item_MonsterJar,Text954,Text1549,Monster Pot,魔物のるつぼ,,review,,No direct target established.
$BF,Item_ChangeJar,Text955,Text1550,Transform Pot,変化の壺,Transmutation Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$C0,Item_MeldingJar,Text956,Text1551,Fusion Pot,合成の壺,Synthesis Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$C1,Item_WalrusJar,Text957,Text1552,Todo Pot,トドの壺,Walrus Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$C2,Item_GaibarasJar,Text958,Text1553,Gaibara Pot,ガイバラの壺,,review,,Gaibara story pottery; preserve narrative identity.
$C3,Item_PointlessJar,Text959,Text1554,Stupid-looking Pot,アホくさい壺,,review,,Gaibara story pottery; preserve narrative identity.
$C4,Item_UnbreakableJar,Text960,Text1555,Unbreakable Pot,割れない壺,Unbreakable Pot,candidate,https://sharksnack.github.io/shiren-6/items/pots/,Verify story role despite identical target name.
$C5,Item_VentingJar,Text961,Text1556,Stress Relieving Pot,うっぷんばらしの壺,,review,,SFC-specific pottery/effect review.
$C6,Item_C6,Text962,Text1557,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$C7,Item_C7,Text963,Text1558,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$C8,Item_C8,Text964,Text1559,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$C9,Item_C9,Text965,Text1560,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$CA,Item_CA,Text966,Text1561,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$CB,Item_CB,Text967,Text1562,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$CC,Item_CC,Text968,Text1563,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$CD,Item_CD,Text969,Text1564,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$CE,Item_CE,Text970,Text1565,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$CF,Item_CF,Text971,Text1566,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D0,Item_D0,Text972,Text1567,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D1,Item_D1,Text973,Text1568,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D2,Item_D2,Text974,Text1569,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D3,Item_D3,Text975,Text1570,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D4,Item_D4,Text976,Text1571,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D5,Item_D5,Text977,Text1572,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D6,Item_D6,Text978,Text1573,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D7,Item_D7,Text979,Text1574,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D8,Item_D8,Text980,Text1575,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$D9,Item_D9,Text981,Text1576,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$DA,Item_DA,Text982,Text1577,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$DB,Item_DB,Text983,Text1578,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$DC,Item_DC,Text984,Text1579,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$DD,Item_DD,Text985,Text1580,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$DE,Item_DE,Text986,Text1581,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$DF,Item_DF,Text987,Text1582,New Item,unused slot,,protected,,Preserve unused slot; no new item.
$E0,Item_MonsterMeat,Text988,Text1583,Monster Meat,モンスターの肉,,review,,Keep monster meat; do not substitute Peach Bun. Dynamic monster-name composition also needs review.
$E1,Item_GoldenFeather,Text989,Text1584,Golden Feather,黄金の羽根,,review,,Story objective; inspect effect/description instead of importing a modern object.
$E2,Item_HappinessBox,Text990,Text1585,Happy Box,しあわせの箱 torneko moment,,review,,Story objective; no direct Shiren 6 target established.
$E3,Item_StrangeBox,Text991,Text1586,Strange Box,奇妙な箱,,review,,Story objective; no direct Shiren 6 target established.
$E4,Item_E4,Text992,Text1587,New Item Target,新規アイテム目的物,,protected,,Special target placeholder; preserve.
$E5,Item_Gitan,Text993,Text1588, Gitan,ギタン,,protected,,Preserve leading space and numeric composition.
$E6,Item_Null,Text994,Text1589,          ,,,protected,,Null slot; preserve spaces and terminator.
$E7,Item_Nduba,Text995,,Nduba,ンドゥバ,,review,,Coordinate with enemy glossary; no separate ordinary description in current sequence.
